"gene","ExprSpecificAdiposeSub","ExprSpecificAdiposeVisceral","ExprSpecificAdrenalGland","ExprSpecificArteryAorta","ExprSpecificArteryCoronary","ExprSpecificArteryTibial","ExprSpecificAmygdala","ExprSpecificAntCingCortex","ExprSpecificCaudate","ExprSpecificCerebHemisphere","ExprSpecificCerebellum","ExprSpecificCortex","ExprSpecificFCortex","ExprSpecificHippocampus","ExprSpecificHypothalamus","ExprSpecificNucAccumbens","ExprSpecificPutamen","ExprSpecificSpinalcord","ExprSpecificSubstantianigra","ExprSpecificBreast","ExprSpecificCellsLymphocytes","ExprSpecificCellsFirbroblasts","ExprSpecificColonSigmoid","ExprSpecificColonTransverse","ExprSpecificEsophGastJunction","ExprSpecificEsophMucosa","ExprSpecificEsophMuscularis","ExprSpecificHeartAtrialApp","ExprSpecificHeartLeftVent","ExprSpecificLiver","ExprSpecificLung","ExprSpecificMuscleSkeletal","ExprSpecificNerveTibial","ExprSpecificOvary","ExprSpecificPancreas","ExprSpecificPituitary","ExprSpecificProstate","ExprSpecificSkinSuprapubic","ExprSpecificSkinLowerLeg","ExprSpecificSmallIntestine","ExprSpecificSpleen","ExprSpecificStomach","ExprSpecificTestis","ExprSpecificThyroid","ExprSpecificUterus","ExprSpecificVagina","ExprSpecificWholeBlood","ExACpLI","ExACpRec","ExACpNull","ExACpMiss","CountsOverlap","CountsProtCodOverlap","StringCombined"
"DPM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536747471706315,0.462588543845081,0.00066398444860427,0.477271067249789,2,1,2
"CFH",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99963096815145,0.000369031848233687,3.16263920963065e-13,0.557695518287623,0,0,0
"GCLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.815078354570402,0.184920046366986,1.59906261202927e-06,2.50178807550323,2,0,1
"LAS1L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892095595186022,0.107858801853445,4.56029605338138e-05,2.20255612222046,0,0,1.59184889471489
"CFTR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.96390764420065e-36,5.19139474609909e-06,0.999994808605254,-6.02911830522374,5,1,8
"KRIT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.0942382450327803,0.905747686407525,1.40685596943744e-05,0.890290551899616,3,0,5
"MAD1L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.03780827176675e-10,0.628404149435575,0.371595850360644,-0.537751966671685,2,1,4
"CYP26B1",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954353506649453,0.045522836503049,0.000123656847498005,2.06357838377173,0,0,5
"ALS2",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000769641354733604,0.999230358231185,4.14081107587641e-10,0.798601868161311,1,0,1
"CASP10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.53789597425533e-12,0.0385314704649409,0.961468529526521,-0.797762472980308,3,0,1
"PLXND1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999989724505468,1.02754945324598e-05,5.14607321368707e-17,4.48122686785259,1,0,0
"AK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00556558560437493,0.897844628098363,0.0965897862972619,0.129246369982301,1,0,2
"KDM1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.991027964686515,0.00897203455302426,7.60461263406558e-10,5.55572106436225,3,0,8
"VPS50",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991409342401086,0.00859065757092007,2.79942626027436e-11,1.73929933068672,0,0,0
"ZMYND10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.60239883453688e-07,0.79273660286775,0.207263036892366,-0.0172651527742064,1,0,1
