Category,x
HP:0000002,1404
HP:0000003,117
HP:0000006,1887
HP:0000007,2888
HP:0000008,439
HP:0000009,439
HP:0000010,150
HP:0000011,43
HP:0000012,47
HP:0000013,47
HP:0000014,477
HP:0000015,34
HP:0000016,28
HP:0000017,9
HP:0000019,4
HP:0000020,147
HP:0000021,10
HP:0000022,76
HP:0000023,275
HP:0000024,7
HP:0000025,251
HP:0000026,46
HP:0000027,122
HP:0000028,733
HP:0000029,15
HP:0000030,12
HP:0000031,3
HP:0000032,1114
HP:0000033,11
HP:0000034,34
HP:0000035,940
HP:0000036,716
HP:0000037,43
HP:0000039,32
HP:0000040,12
HP:0000041,16
HP:0000042,3
HP:0000044,158
HP:0000045,124
HP:0000046,58
HP:0000047,355
HP:0000048,35
HP:0000049,22
HP:0000050,544
HP:0000051,3
HP:0000053,22
HP:0000054,264
HP:0000055,155
HP:0000056,96
HP:0000058,82
HP:0000059,39
HP:0000060,30
HP:0000061,9
HP:0000062,111
HP:0000063,4
HP:0000064,29
HP:0000065,7
HP:0000066,57
HP:0000068,25
HP:0000069,333
HP:0000070,27
HP:0000071,35
HP:0000072,75
HP:0000073,46
HP:0000074,25
HP:0000075,38
HP:0000076,176
HP:0000077,1331
HP:0000078,1628
HP:0000079,1900
HP:0000080,789
HP:0000081,22
HP:0000083,387
HP:0000085,106
HP:0000086,74
HP:0000089,121
HP:0000090,36
HP:0000091,90
HP:0000092,20
HP:0000093,197
HP:0000095,166
HP:0000096,86
HP:0000097,56
HP:0000098,170
HP:0000099,75
HP:0000100,132
HP:0000103,34
HP:0000104,194
HP:0000105,42
HP:0000107,271
HP:0000108,8
HP:0000110,76
HP:0000111,2
HP:0000112,91
HP:0000113,50
HP:0000114,41
HP:0000117,16
HP:0000119,2529
HP:0000121,90
HP:0000122,79
HP:0000123,110
HP:0000124,108
HP:0000125,30
HP:0000126,232
HP:0000127,22
HP:0000128,6
HP:0000130,222
HP:0000131,3
HP:0000132,30
HP:0000133,33
HP:0000134,29
HP:0000135,409
HP:0000136,4
HP:0000137,223
HP:0000138,87
HP:0000139,7
HP:0000140,279
HP:0000141,191
HP:0000142,101
HP:0000143,21
HP:0000144,287
HP:0000145,2
HP:0000147,73
HP:0000148,17
HP:0000149,12
HP:0000150,17
HP:0000151,20
HP:0000152,3149
HP:0000153,2153
HP:0000154,205
HP:0000155,45
HP:0000157,416
HP:0000158,148
HP:0000159,1054
HP:0000160,213
HP:0000161,49
HP:0000162,29
HP:0000163,2075
HP:0000164,907
HP:0000166,5
HP:0000168,223
HP:0000169,21
HP:0000171,18
HP:0000172,179
HP:0000174,1058
HP:0000175,593
HP:0000176,70
HP:0000177,853
HP:0000178,232
HP:0000179,133
HP:0000180,16
HP:0000182,12
HP:0000183,10
HP:0000185,184
HP:0000187,15
HP:0000188,12
HP:0000189,182
HP:0000190,63
HP:0000191,17
HP:0000193,149
HP:0000194,113
HP:0000196,4
HP:0000197,10
HP:0000198,4
HP:0000199,16
HP:0000200,13
HP:0000201,28
HP:0000202,644
HP:0000204,168
HP:0000205,4
HP:0000206,12
HP:0000207,24
HP:0000211,13
HP:0000212,118
HP:0000214,4
HP:0000215,25
HP:0000216,2
HP:0000217,55
HP:0000218,707
HP:0000219,279
HP:0000220,29
HP:0000221,42
HP:0000222,1
HP:0000223,6
HP:0000224,6
HP:0000225,55
HP:0000227,2
HP:0000228,4
HP:0000230,33
HP:0000232,128
HP:0000233,367
HP:0000234,3120
HP:0000235,429
HP:0000236,115
HP:0000237,7
HP:0000238,372
HP:0000239,159
HP:0000240,1487
HP:0000242,10
HP:0000243,42
HP:0000244,10
HP:0000245,170
