"gene","ExprSpecificAdiposeSub","ExprSpecificAdiposeVisceral","ExprSpecificAdrenalGland","ExprSpecificArteryAorta","ExprSpecificArteryCoronary","ExprSpecificArteryTibial","ExprSpecificAmygdala","ExprSpecificAntCingCortex","ExprSpecificCaudate","ExprSpecificCerebHemisphere","ExprSpecificCerebellum","ExprSpecificCortex","ExprSpecificFCortex","ExprSpecificHippocampus","ExprSpecificHypothalamus","ExprSpecificNucAccumbens","ExprSpecificPutamen","ExprSpecificSpinalcord","ExprSpecificSubstantianigra","ExprSpecificBreast","ExprSpecificCellsLymphocytes","ExprSpecificCellsFirbroblasts","ExprSpecificColonSigmoid","ExprSpecificColonTransverse","ExprSpecificEsophGastJunction","ExprSpecificEsophMucosa","ExprSpecificEsophMuscularis","ExprSpecificHeartAtrialApp","ExprSpecificHeartLeftVent","ExprSpecificLiver","ExprSpecificLung","ExprSpecificMuscleSkeletal","ExprSpecificNerveTibial","ExprSpecificOvary","ExprSpecificPancreas","ExprSpecificPituitary","ExprSpecificProstate","ExprSpecificSkinSuprapubic","ExprSpecificSkinLowerLeg","ExprSpecificSmallIntestine","ExprSpecificSpleen","ExprSpecificStomach","ExprSpecificTestis","ExprSpecificThyroid","ExprSpecificUterus","ExprSpecificVagina","ExprSpecificWholeBlood"
"DPM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CFH",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LAS1L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CFTR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"KRIT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"MAD1L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CYP26B1",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALS2",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASP10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
