From	Entry
MGP	P08493
ARSB	P15848
COL2A1	P02458
VPS37D	Q86XT2
GDF5	P43026
TMCO1	Q9UM00
BMP1	P13497
IL11RA	Q14626
HS2ST1	Q7LGA3
PLCH1	Q4KWH8
FOXE3	Q13461
CPLANE1	Q9H799
LBR	Q14739
KYNU	Q16719
GABRA5	P31644
RNASEH2C	Q8TDP1
NUP107	P57740
RTL1	A6NKG5
NDUFB11	Q9NX14
PTPN11	Q06124
ALDH18A1	P54886
PRKAR1A	P10644
PGAP1	Q75T13
FZD2	Q14332
CDT1	Q9H211
BRCC3	P46736
DPYSL5	Q9BPU6
SIX3	O95343
TRPV4	Q9HBA0
SEC23B	Q15437
PEX10	O60683
SETD2	Q9BYW2
SHH	Q15465
SEC24D	O94855
CYP17A1	P05093
ADH5	P11766
MAT2A	P31153
ADA2	Q9NZK5
HCFC1	P51610
MORC2	Q9Y6X9
SLC39A8	Q9C0K1
DYNC2H1	Q8NCM8
ANKRD11	Q6UB99
TGFBR2	P37173
RPS6KA3	P51812
TNFRSF11A	Q9Y6Q6
IARS2	Q9NSE4
GPR161	Q8N6U8
CCDC8	Q9H0W5
DLL1	O00548
PQBP1	O60828
STAMBP	O95630
RINT1	Q6NUQ1
KISS1R	Q969F8
DICER1	Q9UPY3
ZNF407	Q9C0G0
NSD1	Q96L73
STIM1	Q13586
NIN	Q8N4C6
COL6A2	P12110
RNASEH2B	Q5TBB1
ANKLE2	Q86XL3
RPS29	P62273
NRCAM	Q92823
POLR3A	O14802
CDC6	Q99741
LZTR1	Q8N653
NPR3	P17342
TOPORS	Q9NS56
SP7	Q8TDD2
BRCA2	P51587
ERCC5	P28715
LMNB1	P20700
DVL1	O14640
DVL1	P54792
RPL35A	P18077
TRPS1	Q9UHF7
FGFR3	P22607
YWHAG	P61981
RPL26	P61254
INTS8	Q75QN2
TCF20	Q9UGU0
GNAS	O95467
GNAS	P63092
GNAS	P84996
GNAS	Q5JWF2
PTH1R	Q03431
FKBP6	O75344
KIF7	Q2M1P5
FLII	Q13045
SLC12A1	Q13621
GINS1	Q14691
NCAPG2	Q86XI2
NMNAT1	Q9HAN9
KMT2A	Q03164
ABHD5	Q8WTS1
HSPG2	P98160
IFT43	Q96FT9
KDM5C	P41229
IGBP1	P78318
MSMO1	Q15800
CHKA	P35790
COG1	Q8WTW3
UBA5	Q9GZZ9
DYM	Q7RTS9
BRPF1	P55201
CHD8	Q9HCK8
PIK3CA	P42336
DDHD2	O94830
SMARCAL1	Q9NZC9
FGF8	P55075
ACP5	P13686
RAI1	Q7Z5J4
ADAMTS17	Q8TE56
ATP6V1A	P38606
LTBP3	Q14767
LTBP3	Q9NS15
RECQL4	O94761
GLI2	P10070
GRIA4	P48058
GNRHR	P30968
PIK3R1	P27986
RSPH4A	Q5TD94
NNT	Q13423
EBP	Q15125
CAVIN1	Q6NZI2
EFL1	Q7Z2Z2
TRRAP	Q9Y4A5
GABRA2	P47869
TGM1	P22735
P4HB	P07237
LIPN	Q5VXI9
FBN1	P35555
PPP1CB	P62140
FGFR1	P11362
CAMTA1	Q9Y6Y1
ATP7A	Q04656
CUL4B	Q13620
EZH2	Q15910
KDM6A	O15550
GABRD	O14764
ZIC2	O95409
PTDSS1	P48651
LAS1L	Q9Y4W2
GJB3	O75712
SHOX	O15266
SLC25A24	Q6NUK1
TSHR	P16473
GALNT2	Q10471
LHX4	Q969G2
SCN3A	Q9NY46
NBN	O60934
IGF1R	P08069
HDAC4	P56524
MEIS2	O14770
DDB2	Q92466
GSC	P56915
FUCA1	P04066
KMT2D	O14686
HESX1	Q9UBX0
INPP5K	Q9BT40
ERCC2	P18074
SAMD9	Q5K651
FARSB	Q9NSD9
UBE3B	Q7Z3V4
THOC2	Q8NI27
CBL	P22681
EFTUD2	Q15029
ABCA12	Q86UK0
WNT5A	P41221
SLC6A19	Q695T7
GPC3	P51654
COL9A1	P20849
XRCC4	Q13426
TTC21B	Q7Z4L5
SGMS2	Q8NHU3
SUFU	Q9UMX1
TBX1	O43435
CANT1	Q8WVQ1
HCN1	O60741
TCIRG1	Q13488
POLR3GL	Q9BT43
ASXL1	Q8IXJ9
MBTPS2	O43462
CCDC22	O60826
DVL3	Q92997
ATP8A2	Q9NTI2
OCRL	Q01968
NDST1	P52848
VCP	P55072
OTX2	P32243
NOTCH2	Q04721
PHF6	Q8IWS0
PIEZO2	Q9H5I5
FLI1	Q01543
WRN	Q14191
EIF4H	Q15056
PTEN	P60484
STAG2	Q8N3U4
CKAP2L	Q8IYA6
IGF1	P05019
TTI2	Q6NXR4
TTC8	Q8TAM2
PEX11B	O96011
IFT140	Q96RY7
MCTP2	Q6DN12
TMEM53	Q6P2H8
DYRK1A	Q13627
NXN	Q6DKJ4
HOXD13	P35453
DLL3	Q9NYJ7
SLC34A1	Q06495
