"gene","StringCombined"
"DPM1",2
"CFH",0
"GCLC",1
"LAS1L",1.59184889471489
"CFTR",8
"KRIT1",5
"MAD1L1",4
"CYP26B1",5
"ALS2",1
"CASP10",1
"PLXND1",0
"AK2",2
"KDM1A",8
"VPS50",0
"ZMYND10",1
"ARX",1.59184889471489
"SLC25A13",0
"SLC4A1",1
"CALCR",3
"HCCS",1.59184889471489
"HOXA11",4
"MEOX1",0
"LIG3",0
"MSL3",1.59184889471489
"CREBBP",8
"TSPOAP1",0
"MPO",1
"PON1",0
"ABCB4",1
"KMT2E",1
"FBXL3",0
"ITGA3",8
"LAMP2",1.59184889471489
"ITGA2B",8
"CRLF1",1
"TMEM98",0
"ABCC8",5
"CACNA1G",4
"DLX6",4
"RALA",7
"AGK",0
"USH1C",0
"TBXA2R",5
"IFRD1",1
"COX10",0
"GTF2IRD1",1
"VPS41",1
"ELAC2",1
"PROM1",8
"PAFAH1B1",8
"DNAH9",8
"CD79B",3
"SCN4A",3
"PAX6",8
"CACNA2D2",3
"PIGQ",0
"FMO3",0
"PSMB1",3
"SYN1",1.59184889471489
"CDKL5",1.59184889471489
"TFAP2B",1
"DLEC1",0
"ADAM22",0
"CYB561",0
"AASS",0
"CRY1",2
"NFIX",2
"PKD1",8
"RHOBTB2",3
"RPS20",7
"REV3L",2
"PAX7",8
"MASP2",0
"IYD",0
"POMT2",1
"MLXIPL",0
"BAZ1B",0
"SPRTN",0
"METTL13",0
"UQCRC1",0
"NCAPD2",3
"FUZ",1
"IDS",1.59184889471489
"CD4",6
"BTK",1.59184889471489
"HFE",0
"HIVEP2",0
"CLCN6",0
"MKS1",0
"ABHD5",1
"ANOS1",1.59184889471489
"RNF216",0
"TTC19",0
"LARS2",1
"PIK3C2A",2
"ANLN",3
"DCN",8
"TYROBP",3
"GABRA3",1.59184889471489
"BRCA1",8
"ERCC1",1
"MBTPS2",1.59184889471489
"PRICKLE3",1.59184889471489
"EXTL3",1
"NR1H4",1
"ELOVL5",0
"ALOX5",0
"KDM5D",1.59184889471489
"UBR7",0
"SLC7A14",1
"CLDN11",1
"PGM3",0
"POLR3B",3
"DDX11",1
"MAMLD1",1.59184889471489
"CAPN1",6
"MDH1",2
"SLC30A9",2
"COX15",0
"CCDC88C",2
"ZMYND11",1
"WAS",1.59184889471489
"MATR3",0
"XYLT2",1
"ISL1",8
"CLCA4",0
"GLT8D1",0
"ATP2C1",0
"IGF1",8
"CNTN1",4
"SLC11A1",2
"AGPS",1
"ATP1A2",1
"CYP24A1",0
"SNAI2",8
"HGF",8
"NCDN",0
"MRE11",3
"SLC7A9",0
"SPAST",2
"CPS1",6
"C8B",0
"FHL1",1.59184889471489
"GABRA1",2
"NDUFS1",0
"RB1CC1",2
"BIRC3",7
"ABCC2",1
"DEF6",0
"TYMP",1
"SEC63",2
"VIM",8
"FAS",3
"RNASET2",1
"MIPEP",1
"PRKCH",2
"IFNGR1",4
"B4GALT7",2
"TNFRSF1B",1
"ANK1",2
"HMGB3",1.59184889471489
"NUP160",5
"MUSK",3
"GRN",3
"ARHGAP31",1
"PNPLA6",2
"IFT88",4
"ALG1",0
"ZCCHC8",0
"FUT8",1
"ATP6V0A1",0
"PEX3",0
"MYOC",1
"VCL",8
"RFC1",0
"TBC1D23",0
"CUL3",6
"OTC",1.59184889471489
"CASR",8
"FLT4",8
"NSUN2",7
"AGA",1
"TLL1",2
"TRIO",6
"VCAN",4
"MSR1",0
"CDH1",8
"DNAH5",6
"C6",0
"PNKP",1
"CTNS",0
"RTN4R",6
"TNC",5
"TDP1",0
"SPATA7",0
"MED17",4
"AP2S1",5
"USH2A",0
"ZPBP",0
"TG",3
"ZIC2",8
"LCP2",5
"TRIT1",0
"CUL7",1
"CTNNA1",8
"PHKA2",1.59184889471489
"DSG2",2
"OFD1",1.59184889471489
"WDR37",1
"CP",0
"DTNBP1",0
"XK",1.59184889471489
"CC2D2A",0
"RRM2B",0
"GUCA1A",1
"VPS13D",0
"CELF2",1
"COL9A2",8
"KITLG",8
"ERCC8",2
"H6PD",1
"PER3",0
"LTBP1",3
"ELN",3
"RFC2",3
"ARID1B",3
"NEDD4L",8
"FOXP3",1.59184889471489
"HEXB",0
"NEXMIF",1.59184889471489
"LAMC3",1
"RAD51",7
"CYBA",1
"MSMO1",0
"ALX4",6
"LAMA3",2
"KCNQ1",7
"SDCCAG8",2
"HHAT",2
"KIF1B",5
"FOXC1",5
"SYNE2",3
"RELT",0
"GALC",0
"KCNH2",6
"CYFIP2",1
"TAB2",8
"EIF2AK2",3
"KMT2C",1
"ZFR",0
"TRAF3IP2",0
"PKP2",2
"MSH4",1
"F7",3
"ATG5",5
"LAMC2",2
"SEC61A1",4
"PPP1R12A",8
"CAMK2B",8
"TBXAS1",0
"ALDH18A1",3
"GATB",0
"SLC2A3",2
"CTDP1",2
"WNK1",2
"CREB3L3",4
"PIGV",0
"COL11A1",8
"MPC1",0
"LZTS1",1
"PRDM6",2
"CDH3",6
"ELMO2",0
"POLD1",2
"BICRA",0
"RPL18",7
"CASP8",6
"DLX3",8
"DMRT3",3
"CDON",3
"TAF2",0
"TNPO3",0
"RFXANK",0
"CTSA",0
"SLC12A2",1
"ABCA7",2
"SNCAIP",2
"POU1F1",5
"PMS1",1
"CALCRL",1
"AP3D1",0
"NTHL1",0
"GNAI3",8
"OAT",0
"NTN1",5
"MCM10",1
"ERBB3",8
"SPEN",8
"MYLK",6
"COL17A1",8
"CDK13",3
"SLC9A7",1.59184889471489
"CTNNA2",7
"TIE1",3
"DIP2B",0
"SMARCD1",6
"SLC9A3",3
"ASPM",1
"ELOVL1",0
"SPI1",8
"ZBTB11",1
"ATXN3",3
"FGFR2",8
"EML1",0
"THUMPD1",3
"ARFGEF1",4
"ZFAT",0
"STAG3",4
"FECH",0
"MYO9A",0
"DDX3Y",1.59184889471489
"KLF6",4
"PHKA1",1.59184889471489
"TNFRSF1A",6
"RHOA",8
"PRKCZ",8
"IARS2",1
"SYT1",6
"ROGDI",0
"ATP2B3",1.59184889471489
"PDK3",1.59184889471489
"HDAC4",8
"FGFR3",8
"COASY",0
"MEF2A",8
"OTUD5",1.59184889471489
"TFE3",1.59184889471489
"ACSL4",1.59184889471489
"GPKOW",1.59184889471489
"FTSJ1",1.59184889471489
"REEP1",1
"ATP11A",0
"POLR1A",3
"TTC7A",0
"KIF2A",4
"RASGRP2",4
"IFT80",0
"PYGM",2
"PITX1",7
"NUP133",8
"VPS35",2
"KCNAB2",2
"ABCC9",2
"GAL",2
"RORA",6
"DRD4",6
"TGFBR3",5
"PIGB",0
"GNB5",8
"RAB27A",0
"UFD1",0
"LRP6",7
"GUCY2C",5
"ELP1",3
"PTPN3",0
"SPTB",2
"FGF10",8
"SLC44A1",0
"TMEM260",0
"CLTCL1",4
"DGCR2",0
"GBA2",0
"NDST1",3
"ASNS",1
"CNGB1",1
"CHAT",3
"EIF2B3",0
"CAMK2A",8
"TCOF1",2
"CDC42",8
"SLC12A3",1
"ATP2B1",7
"RPL31",6
"WDR1",1
"BUD23",0
"TRIP13",1
"ATP6AP1",1.59184889471489
"TCF3",8
"FAM50A",1.59184889471489
"CPSF1",0
