"gene","constitutiveexons","ESTcount","alt3EST","alt5EST","alt3.5EST","GeneLength","TranscriptCount","GCcontent","NumJunctions","IntronicLength"
"DPM1",9,1772,6,7,0,23688,6,39.85,55,22491
"CFH",20,1054,7,0,0,95626,6,35.2,56,87503
"GCLC",14,391,4,0,0,119629,13,40.16,60,111184
"LAS1L",15,1313,3,2,0,22193,5,50.45,61,16618
"CFTR",25,97,1,0,0,250187,11,36.59,90,242966
"KRIT1",17,584,32,3,25,47197,24,36.48,171,41011
"MAD1L1",19,864,43,2,1,417450,23,55.65,122,410531
"CYP26B1",5,62,0,0,0,18800,5,59.96,16,13792
"ALS2",35,436,2,0,0,80635,12,38.06,146,70294
"CASP10",8,132,1,0,0,46525,13,42.31,74,38939
"PLXND1",34,506,2,2,0,51643,17,58.39,121,41941
"AK2",8,1666,3,2,0,73056,15,46.32,49,67342
"KDM1A",20,858,6,0,0,64241,6,39.16,69,58814
"VPS50",1,208,0,6,0,128781,20,34.83,244,119358
"ZMYND10",10,688,8,1,0,5742,9,57.81,49,1742
"ARX",3,5,0,0,0,12726,5,54.62,4,9383
"SLC25A13",19,742,1,1,0,201927,8,39.76,68,198237
"SLC4A1",19,352,3,1,0,19756,6,55.8,37,14489
"CALCR",15,206,0,0,0,150243,7,35.2,93,146225
"HCCS",5,313,0,0,0,11777,3,42.99,18,9449
"HOXA11",1,1,0,0,0,3713,2,55.22,3,1408
"MEOX1",2,24,0,0,0,21566,4,51.61,7,18862
"LIG3",21,324,6,0,0,29249,16,47.23,90,16349
"MSL3",11,913,2,1,0,17594,17,42.85,108,11112
"CREBBP",29,304,0,0,0,155672,20,45.01,91,140635
"TSPOAP1",1,8,0,0,0,27532,11,57.84,126,16206
"MPO",10,194,0,1,0,11079,5,55.13,27,7468
"PON1",8,155,1,0,0,27031,4,40.5,28,95708
"ABCB4",26,84,2,0,0,78738,10,38.6,147,71277
"KMT2E",29,420,0,2,0,100182,16,37.46,189,90986
"FBXL3",3,85,0,2,0,34597,6,38.36,13,29946
"ITGA3",26,1105,0,2,0,34513,16,52.64,130,24735
"LAMP2",9,2676,3,1,0,41538,4,38.79,44,35933
"ITGA2B",28,310,1,1,17,17325,10,54.83,118,11797
"CRLF1",8,134,7,3,0,35521,5,55.32,15,32515
"TMEM98",8,623,4,0,0,17196,9,48.47,45,12018
"ABCC8",38,624,10,1,0,83960,21,50,178,77219
"CACNA1G",37,1602,9,19,2,66406,34,56.83,1105,56736
"DLX6",1,13,0,0,0,5491,3,49.51,8,2045
"RALA",4,209,0,0,0,84641,5,39.69,13,80984
"AGK",16,950,3,1,0,71935.7808864588,7.97085853885528,46.5924284550954,83,68634
"USH1C",26,463,0,0,0,50521,11,51.78,126,45648
"TBXA2R",2,5,0,0,0,12334,4,55.77,7,9545
"IFRD1",13,681,3,0,0,58049,17,39.45,72,51587
"COX10",7,252,0,0,0,139181,4,38.47,28,136016
"GTF2IRD1",25,571,15,0,0,148814,7,52.72,132,142340
"VPS41",28,1487,1,2,0,209431,14,38.35,111,201667
"ELAC2",24,2897,11,8,0,25796,21,48.08,195,19491
"PROM1",32,812,3,1,0,121302,20,43.17,225,113882
"PAFAH1B1",12,604,2,1,0,92405,13,42.4,50,84815
"DNAH9",67,357,0,0,0,371317,15,42.63,180,354415
"CD79B",4,306,41,0,0,3614,6,60.69,18,1540
"SCN4A",22,76,0,0,0,34364,3,56.1,49,26141
"PAX6",14,481,0,3,0,33283,82,49.72,205,18012
"CACNA2D2",39,369,3,0,0,141445,8,56.52,305,135163
"PIGQ",13,204,4,2,0,17141,25,64.36,71,10289
"FMO3",9,224,2,0,0,26942,6,36.5,47,23489
"PSMB1",9,1809,5,0,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"SYN1",11,106,0,0,0,48045,5,47.81,24,44759
"CDKL5",22,254,0,0,0,228046,11,40.21,45,224493
"TFAP2B",6,59,0,0,0,28890,3,44.14,17,22749
"DLEC1",36,211,3,0,0,84820,7,48.5,136,76516
"ADAM22",31,342,1,1,0,268746,11,37.29,213,256565
"CYB561",4,823,4,7,0,14074,21,57.41,81,8767
"AASS",26,327,4,1,0,68633,7,36.48,111,64066
"CRY1",13,191,2,0,0,102465,5,37.62,30,97417
"NFIX",10,176,0,4,0,103188,14,55.28,95,96901
"PKD1",44,385,9,0,0,47188,40,63.1,305,28695
"RHOBTB2",10,214,1,1,0,32782,8,53.51,41,26218
"RPS20",4,4605,4,3,0,7286,12,41.97,26,4287
"REV3L",35,412,0,0,0,184687,14,36.9,213,172303
"PAX7",7,31,3,0,0,117860,3,52.35,22,111556
"MASP2",9,77,0,0,0,20710,4,50.21,17,16469
"IYD",4,42,1,1,1,37077,9,41.6,37,26722
"POMT2",24,379,1,4,0,45928,23,47.08,120,35942
"MLXIPL",15,181,7,3,0,31349,11,56.25,125,26548
"BAZ1B",18,169,1,0,0,81880,3,43.19,39,74846
"SPRTN",4,122,0,0,0,17919,6,41.57,17,12019
"METTL13",7,185,4,5,0,32359,7,43.61,40,28541
"UQCRC1",12,3620,10,21,0,11974,10,53.04,51,8749
"NCAPD2",30,1636,9,1,0,38599,13,46.34,140,32143
"FUZ",11,502,4,27,2,10507,18,52.29,111,7570
"IDS",13,734,16,1,0,44106,8,45.34,60,46473
"CD4",12,2154,7,71,0,33950,12,48.55,46,29381
"BTK",20,588,6,5,0,41349,10,43.18,42,32541
"HFE",8,125,8,1,0,11062,14,44.85,56,5392
"HIVEP2",10,90,0,0,0,205231,5,38.72,26,183971
"CLCN6",21,529,7,4,0,37048,8,47.79,124,30135
"MKS1",17,589,3,1,0,14168,13,47.46,142,10108
"ABHD5",7,185,1,0,0,44258,7,40.26,22,41098
"ANOS1",1,7,0,0,0,203312,3,39.59,16,196196
"RNF216",23,782,9,3,0,161692,9,45.52,68,154098
"TTC19",9,486,2,6,0,45635,10,41.07,52,39804
"LARS2",23,709,0,0,0,160915,8,42.15,80,155547
"PIK3C2A",33,421,0,1,0,130253,5,39.84,83,121086
"ANLN",25,1389,7,5,0,63985,13,37.88,91,58001
"DCN",7,3551,2,4,0,42639,20,34.92,71,29807
"TYROBP",4,304,33,0,0,3894,9,51.45,32,2988
"GABRA3",10,174,0,0,0,285124,4,37.36,29,281247
"BRCA1",25,561,14,9,0,125950,30,44.09,390,117579
"ERCC1",10,575,2,2,0,71495,17,52.1,96,65936
"MBTPS2",9,352,1,1,0,45788,3,38.49,21,36873
"PRICKLE3",8,223,0,5,0,11264,8,56.05,49,8308
"EXTL3",6,121,0,2,0,155130,14,44.36,45,141928
"NR1H4",10,213,1,7,0,90705,9,39.74,61,87259
"ELOVL5",11,2229,2,1,0,81781,7,41.88,48,77542
"ALOX5",16,424,2,1,0,71943,8,47.73,32,68229
"KDM5D",27,415,9,3,0,41074,10,38.66,144,31637
"UBR7",9,684,1,1,0,71935.7808864588,7.97085853885528,46.5924284550954,50,68634
"SLC7A14",6,41,0,0,0,126490,2,42.15,8,116041
"CLDN11",5,45,0,0,0,441515,9,41.54,26,435595
"PGM3",13,584,1,2,0,32786,15,38.66,77,24904
"POLR3B",26,642,0,0,0,152540,4,39.75,60,147713
"DDX11",29,597,15,2,0,30946,30,52.28,338,22601
"MAMLD1",8,95,0,0,0,152756,7,44.08,31,146812
"CAPN1",25,2949,7,0,0,31440,28,51.18,181,23911
"MDH1",13,2840,6,5,0,18588,16,38.05,70,13609
"SLC30A9",18,1118,4,0,0,99985,5,36.98,47,92780
"COX15",7,422,4,1,0,20256,3,42.42,17,16089
"CCDC88C",30,128,0,0,0,146521,14,51.25,68,134130
"ZMYND11",14,573,6,1,0,120172,17,37.8,203,114892
"WAS",11,409,0,5,0,14831,7,50.82,36,12466
"MATR3",17,1911,14,0,0,38029,28,38.8,288,43275
"XYLT2",9,97,1,0,0,17046,7,56.54,32,11586
"ISL1",4,69,0,0,0,11347,3,44.32,13,8434
"CLCA4",12,241,0,0,0,33676,2,37.99,21,30041
"GLT8D1",14,557,20,0,0,11544,15,44.49,92,7773
"ATP2C1",30,1344,12,8,0,166117,24,37.56,429,158043
"IGF1",3,50,0,0,0,84778,7,39.66,23,76698
